CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,068;0,019
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,137;0,056
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,068;0,049
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,068;0,074
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,068;0,020
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,068;0,044
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,068;0,035
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,068;0,013
SP00151;SP;4988,000;3688,000;1300,000;3066,000;3,000;0,098;0,205;0,081
SP00152;SP;857,000;541,000;316,000;441,000;1,000;0,227;0,068;0,185
SP00153;SP;6503,000;4705,000;1798,000;3830,000;13,000;0,339;0,889;0,276
SP00155;SP;6109,000;4286,000;1823,000;3668,000;12,000;0,327;0,821;0,280
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,068;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;3,000;0,089;0,205;0,075
SP00159;SP;8207,000;5759,000;2448,000;4847,000;2,000;0,041;0,137;0,035
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,068;0,019
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,068;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,068;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;3,000;0,072;0,205;0,060
SP00164;SP;5864,000;4364,000;1500,000;3543,000;3,000;0,085;0,205;0,069
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,068;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;4,000;0,102;0,274;0,082
SP00168;SP;4204,000;3050,000;1154,000;2550,000;4,000;0,157;0,274;0,131
SP00169;SP;6507,000;4898,000;1609,000;3997,000;8,000;0,200;0,547;0,163
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,068;0,037
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,068;0,031
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,068;0,029
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,068;0,022
