CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;3,333;0,017
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;3,333;0,032
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;3,333;0,018
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;3,333;0,021
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;3,333;0,025
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;3,333;0,023
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;3,333;0,046
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;3,333;0,036
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;3,333;0,018
SP00461;SP;4042,000;2899,000;1143,000;2649,000;1,000;0,038;3,333;0,034
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;3,333;0,025
SP00631;SP;2522,000;1571,000;951,000;1400,000;1,000;0,071;3,333;0,064
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;3,333;0,035
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;3,333;0,033
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;3,333;0,021
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;3,333;0,039
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;3,333;0,012
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;3,333;0,036
SP00704;SP;5896,000;4329,000;1567,000;3685,000;1,000;0,027;3,333;0,023
SP00775;SP;7449,000;5305,000;2144,000;4528,000;2,000;0,044;6,667;0,038
SP01107;SP;8910,000;6337,000;2573,000;5296,000;1,000;0,019;3,333;0,016
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;3,333;0,020
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;3,333;0,019
SP01400;SP;5413,000;3890,000;1523,000;3387,000;1,000;0,030;3,333;0,026
SP01750;SP;1938,000;1587,000;351,000;1344,000;1,000;0,074;3,333;0,063
SP01870;SP;4686,000;3652,000;1034,000;3133,000;1,000;0,032;3,333;0,027
SP01881;SP;7339,000;5302,000;2037,000;4562,000;1,000;0,022;3,333;0,019
SP01935;SP;6268,000;4538,000;1730,000;3717,000;1,000;0,027;3,333;0,022
SP02010;SP;1994,000;1540,000;454,000;1280,000;1,000;0,078;3,333;0,065
