CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,045;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,090;0,033
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,045;0,045
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,045;0,052
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,045;0,019
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,045;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,045;0,019
SP00069;SP;2939,000;2032,000;907,000;1793,000;3,000;0,167;0,135;0,148
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,045;0,010
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,045;0,015
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,090;0,075
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,045;0,018
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,045;0,015
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,045;0,021
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,045;0,026
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,045;0,026
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,045;0,020
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,045;0,022
SP00281;SP;5656,000;4194,000;1462,000;3612,000;2,000;0,055;0,090;0,048
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,045;0,040
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,045;0,015
SP00321;SP;4314,000;3059,000;1255,000;2771,000;2,000;0,072;0,090;0,065
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,045;0,018
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,045;0,018
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,045;0,019
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,045;0,040
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,045;0,017
SP00436;SP;2845,000;1967,000;878,000;1697,000;1,000;0,059;0,045;0,051
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,045;0,052
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,045;0,031
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,045;0,040
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,045;0,020
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,045;0,022
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,045;0,033
SP00506;SP;4319,000;3065,000;1254,000;2647,000;3,000;0,113;0,135;0,098
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,045;0,014
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;0,045;0,026
SP00510;SP;6209,000;4329,000;1880,000;3594,000;2,000;0,056;0,090;0,046
SP00511;SP;6942,000;4878,000;2064,000;4132,000;3,000;0,073;0,135;0,062
SP00512;SP;7389,000;5163,000;2226,000;4319,000;2,000;0,046;0,090;0,039
SP00513;SP;4106,000;2993,000;1113,000;2609,000;1,000;0,038;0,045;0,033
SP00514;SP;5514,000;3990,000;1524,000;3430,000;3,000;0,087;0,135;0,075
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,045;0,030
SP00519;SP;5846,000;4121,000;1725,000;3509,000;2,000;0,057;0,090;0,049
SP00520;SP;3065,000;2185,000;880,000;1832,000;1,000;0,055;0,045;0,046
SP00521;SP;5002,000;3490,000;1512,000;2901,000;2,000;0,069;0,090;0,057
SP00522;SP;4695,000;3519,000;1176,000;2921,000;2,000;0,068;0,090;0,057
SP00525;SP;5945,000;4545,000;1400,000;3796,000;2,000;0,053;0,090;0,044
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,045;0,086
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,045;0,019
SP00533;SP;2644,000;2087,000;557,000;1800,000;2,000;0,111;0,090;0,096
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,045;0,018
SP00549;SP;5928,000;4010,000;1918,000;3526,000;2,000;0,057;0,090;0,050
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,045;0,024
SP00558;SP;5547,000;4114,000;1433,000;3404,000;1,000;0,029;0,045;0,024
SP00561;SP;4720,000;3508,000;1212,000;2955,000;2,000;0,068;0,090;0,057
SP00571;SP;1966,000;1470,000;496,000;1235,000;1,000;0,081;0,045;0,068
SP00575;SP;1945,000;1339,000;606,000;1078,000;1,000;0,093;0,045;0,075
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,045;0,017
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,045;0,030
SP00721;SP;3054,000;2197,000;857,000;1978,000;2,000;0,101;0,090;0,091
SP00806;SP;5119,000;3556,000;1563,000;3097,000;1,000;0,032;0,045;0,028
SP00808;SP;5967,000;4362,000;1605,000;3844,000;1,000;0,026;0,045;0,023
SP00811;SP;4790,000;3322,000;1468,000;2896,000;2,000;0,069;0,090;0,060
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,045;0,043
SP00817;SP;5075,000;3549,000;1526,000;2989,000;1,000;0,033;0,045;0,028
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,045;0,027
SP00821;SP;3156,000;2353,000;803,000;2019,000;2,000;0,099;0,090;0,085
SP00824;SP;5510,000;4207,000;1303,000;3616,000;1,000;0,028;0,045;0,024
SP00826;SP;2231,000;1737,000;494,000;1498,000;1,000;0,067;0,045;0,058
SP00827;SP;7530,000;5704,000;1826,000;4991,000;2,000;0,040;0,090;0,035
SP00830;SP;1919,000;1541,000;378,000;1355,000;1,000;0,074;0,045;0,065
SP00836;SP;4922,000;3424,000;1498,000;2884,000;2,000;0,069;0,090;0,058
SP00884;SP;6025,000;4117,000;1908,000;3528,000;1,000;0,028;0,045;0,024
SP00885;SP;3760,000;2696,000;1064,000;2288,000;3,000;0,131;0,135;0,111
SP00886;SP;3614,000;2519,000;1095,000;2153,000;1,000;0,046;0,045;0,040
SP00888;SP;3225,000;2422,000;803,000;2160,000;4,000;0,185;0,180;0,165
SP00889;SP;4118,000;2831,000;1287,000;2529,000;2,000;0,079;0,090;0,071
SP00890;SP;6506,000;4670,000;1836,000;4087,000;3,000;0,073;0,135;0,064
SP00891;SP;6195,000;4624,000;1571,000;4037,000;4,000;0,099;0,180;0,087
SP00892;SP;4485,000;3072,000;1413,000;2701,000;3,000;0,111;0,135;0,098
SP00893;SP;4866,000;3614,000;1252,000;3170,000;5,000;0,158;0,225;0,138
SP00894;SP;4335,000;3134,000;1201,000;2776,000;3,000;0,108;0,135;0,096
SP00895;SP;4545,000;3059,000;1486,000;2625,000;4,000;0,152;0,180;0,131
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;0,045;0,032
SP00900;SP;4799,000;3561,000;1238,000;2989,000;3,000;0,100;0,135;0,084
SP00901;SP;4411,000;3185,000;1226,000;2668,000;5,000;0,187;0,225;0,157
SP00905;SP;5577,000;4262,000;1315,000;3604,000;4,000;0,111;0,180;0,094
SP00907;SP;3598,000;2756,000;842,000;2283,000;2,000;0,088;0,090;0,073
SP00908;SP;2080,000;1573,000;507,000;1325,000;2,000;0,151;0,090;0,127
SP00909;SP;2198,000;1652,000;546,000;1447,000;4,000;0,276;0,180;0,242
SP00914;SP;1086,000;870,000;216,000;721,000;1,000;0,139;0,045;0,115
SP00915;SP;1861,000;1401,000;460,000;1187,000;1,000;0,084;0,045;0,071
SP00916;SP;1311,000;995,000;316,000;820,000;1,000;0,122;0,045;0,101
SP00920;SP;6672,000;4828,000;1844,000;3916,000;38,000;0,970;1,707;0,787
SP00921;SP;1221,000;862,000;359,000;673,000;11,000;1,634;0,494;1,276
SP00922;SP;8638,000;6089,000;2549,000;5158,000;91,000;1,764;4,088;1,494
SP00923;SP;5779,000;3898,000;1881,000;3357,000;38,000;1,132;1,707;0,975
SP00925;SP;5327,000;3864,000;1463,000;3310,000;5,000;0,151;0,225;0,129
SP00926;SP;5575,000;3935,000;1640,000;3387,000;6,000;0,177;0,270;0,152
SP00927;SP;4583,000;3288,000;1295,000;2862,000;3,000;0,105;0,135;0,091
SP00928;SP;5132,000;3949,000;1183,000;3288,000;3,000;0,091;0,135;0,076
SP00929;SP;2588,000;2013,000;575,000;1723,000;3,000;0,174;0,135;0,149
SP00930;SP;2858,000;2200,000;658,000;1854,000;3,000;0,162;0,135;0,136
SP00931;SP;1575,000;1220,000;355,000;1064,000;1,000;0,094;0,045;0,082
SP00937;SP;5631,000;4138,000;1493,000;3493,000;1,000;0,029;0,045;0,024
SP00938;SP;7741,000;5514,000;2227,000;4610,000;1,000;0,022;0,045;0,018
SP00956;SP;6086,000;4211,000;1875,000;3458,000;1,000;0,029;0,045;0,024
SP01050;SP;1959,000;1503,000;456,000;1281,000;1,000;0,078;0,045;0,067
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,045;0,025
SP01102;SP;3065,000;2033,000;1032,000;1773,000;1,000;0,056;0,045;0,049
SP01105;SP;5682,000;4024,000;1658,000;3544,000;2,000;0,056;0,090;0,050
SP01113;SP;5153,000;3920,000;1233,000;3365,000;1,000;0,030;0,045;0,026
SP01153;SP;12021,000;8675,000;3346,000;7258,000;1,000;0,014;0,045;0,012
SP01181;SP;4741,000;3452,000;1289,000;2824,000;1,000;0,035;0,045;0,029
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,045;0,019
SP01213;SP;4450,000;3366,000;1084,000;2741,000;1,000;0,036;0,045;0,030
SP01214;SP;5318,000;3918,000;1400,000;3148,000;1,000;0,032;0,045;0,026
SP01245;SP;7927,000;6126,000;1801,000;5200,000;1,000;0,019;0,045;0,016
SP01327;SP;5676,000;4019,000;1657,000;3252,000;1,000;0,031;0,045;0,025
SP01357;SP;2333,000;1739,000;594,000;1398,000;1,000;0,072;0,045;0,058
SP01446;SP;4917,000;3793,000;1124,000;3157,000;1,000;0,032;0,045;0,026
SP01473;SP;5784,000;3936,000;1848,000;3286,000;89,000;2,708;3,998;2,261
SP01474;SP;7185,000;5083,000;2102,000;4320,000;13,000;0,301;0,584;0,256
SP01475;SP;3961,000;2752,000;1209,000;2310,000;3,000;0,130;0,135;0,109
SP01476;SP;4315,000;3049,000;1266,000;2546,000;3,000;0,118;0,135;0,098
SP01477;SP;6382,000;4456,000;1926,000;3738,000;10,000;0,268;0,449;0,224
SP01478;SP;7765,000;5221,000;2544,000;4345,000;12,000;0,276;0,539;0,230
SP01479;SP;7013,000;5355,000;1658,000;4424,000;153,000;3,458;6,873;2,857
SP01480;SP;6794,000;4702,000;2092,000;3955,000;17,000;0,430;0,764;0,362
SP01481;SP;2868,000;2080,000;788,000;1681,000;16,000;0,952;0,719;0,769
SP01482;SP;6480,000;4781,000;1699,000;3882,000;39,000;1,005;1,752;0,816
SP01483;SP;5423,000;3997,000;1426,000;3341,000;3,000;0,090;0,135;0,075
SP01484;SP;4803,000;3637,000;1166,000;3023,000;16,000;0,529;0,719;0,440
SP01485;SP;4366,000;3308,000;1058,000;2767,000;4,000;0,145;0,180;0,121
SP01486;SP;6492,000;4955,000;1537,000;4168,000;16,000;0,384;0,719;0,323
SP01487;SP;5209,000;4004,000;1205,000;3388,000;190,000;5,608;8,535;4,745
SP01488;SP;4853,000;3805,000;1048,000;3190,000;1,000;0,031;0,045;0,026
SP01489;SP;7577,000;5491,000;2086,000;4714,000;13,000;0,276;0,584;0,237
SP01490;SP;5134,000;3970,000;1164,000;3327,000;5,000;0,150;0,225;0,126
SP01491;SP;4927,000;3538,000;1389,000;2917,000;8,000;0,274;0,359;0,226
SP01492;SP;6727,000;4828,000;1899,000;4030,000;638,000;15,831;28,661;13,215
SP01493;SP;3722,000;2712,000;1010,000;2272,000;3,000;0,132;0,135;0,111
SP01494;SP;6825,000;4925,000;1900,000;4104,000;4,000;0,097;0,180;0,081
SP01495;SP;5651,000;4282,000;1369,000;3551,000;8,000;0,225;0,359;0,187
SP01496;SP;5781,000;4430,000;1351,000;3721,000;68,000;1,827;3,055;1,535
SP01497;SP;5264,000;3875,000;1389,000;3261,000;17,000;0,521;0,764;0,439
SP01498;SP;5725,000;4260,000;1465,000;3481,000;5,000;0,144;0,225;0,117
SP01499;SP;2259,000;1673,000;586,000;1371,000;33,000;2,407;1,482;1,973
SP01500;SP;1399,000;1031,000;368,000;873,000;3,000;0,344;0,135;0,291
SP01501;SP;923,000;701,000;222,000;595,000;7,000;1,176;0,314;0,999
SP01502;SP;4069,000;3074,000;995,000;2489,000;2,000;0,080;0,090;0,065
SP01503;SP;5963,000;4430,000;1533,000;3628,000;2,000;0,055;0,090;0,045
SP01504;SP;3973,000;2869,000;1104,000;2402,000;5,000;0,208;0,225;0,174
SP01505;SP;1275,000;993,000;282,000;808,000;3,000;0,371;0,135;0,302
SP01507;SP;2166,000;1623,000;543,000;1390,000;2,000;0,144;0,090;0,123
SP01508;SP;2503,000;1903,000;600,000;1596,000;1,000;0,063;0,045;0,053
SP01509;SP;2116,000;1553,000;563,000;1253,000;1,000;0,080;0,045;0,064
SP01510;SP;2124,000;1616,000;508,000;1309,000;10,000;0,764;0,449;0,619
SP01511;SP;1342,000;1040,000;302,000;869,000;72,000;8,285;3,235;6,923
SP01512;SP;1736,000;1367,000;369,000;1142,000;1,000;0,088;0,045;0,073
SP01513;SP;3487,000;2433,000;1054,000;2006,000;255,000;12,712;11,456;10,481
SP01574;SP;7876,000;5506,000;2370,000;4641,000;3,000;0,065;0,135;0,054
SP01576;SP;4532,000;3498,000;1034,000;2944,000;3,000;0,102;0,135;0,086
SP01577;SP;4405,000;3382,000;1023,000;2871,000;3,000;0,104;0,135;0,089
SP01578;SP;5035,000;3915,000;1120,000;3263,000;6,000;0,184;0,270;0,153
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,045;0,035
SP01580;SP;12295,000;8363,000;3932,000;6990,000;1,000;0,014;0,045;0,012
SP01588;SP;4161,000;3146,000;1015,000;2747,000;1,000;0,036;0,045;0,032
SP01591;SP;5257,000;4209,000;1048,000;3614,000;1,000;0,028;0,045;0,024
SP01602;SP;5026,000;3719,000;1307,000;3000,000;2,000;0,067;0,090;0,054
SP01603;SP;3140,000;2352,000;788,000;1886,000;1,000;0,053;0,045;0,043
SP01610;SP;3105,000;2321,000;784,000;1935,000;1,000;0,052;0,045;0,043
SP01643;SP;6423,000;4412,000;2011,000;3733,000;1,000;0,027;0,045;0,023
SP01695;SP;2859,000;2244,000;615,000;1904,000;1,000;0,053;0,045;0,045
SP01713;SP;4285,000;3322,000;963,000;2877,000;1,000;0,035;0,045;0,030
SP01715;SP;3987,000;2703,000;1284,000;2302,000;1,000;0,043;0,045;0,037
SP01718;SP;6133,000;4462,000;1671,000;3746,000;2,000;0,053;0,090;0,045
SP01719;SP;5072,000;3667,000;1405,000;3138,000;1,000;0,032;0,045;0,027
SP01720;SP;4886,000;3771,000;1115,000;3270,000;1,000;0,031;0,045;0,027
SP01722;SP;4433,000;3424,000;1009,000;2973,000;1,000;0,034;0,045;0,029
SP01725;SP;6477,000;4901,000;1576,000;4149,000;2,000;0,048;0,090;0,041
SP01729;SP;3858,000;2903,000;955,000;2392,000;3,000;0,125;0,135;0,103
SP01732;SP;5337,000;4122,000;1215,000;3348,000;1,000;0,030;0,045;0,024
SP01734;SP;4835,000;3770,000;1065,000;3245,000;4,000;0,123;0,180;0,106
SP01735;SP;2431,000;1787,000;644,000;1502,000;1,000;0,067;0,045;0,056
SP01737;SP;4533,000;3032,000;1501,000;2598,000;3,000;0,115;0,135;0,099
SP01738;SP;6502,000;4692,000;1810,000;3933,000;4,000;0,102;0,180;0,085
SP01739;SP;4727,000;3508,000;1219,000;2932,000;3,000;0,102;0,135;0,086
SP01740;SP;5160,000;3900,000;1260,000;3207,000;1,000;0,031;0,045;0,026
SP01741;SP;2084,000;1633,000;451,000;1382,000;1,000;0,072;0,045;0,061
SP01742;SP;2540,000;1993,000;547,000;1660,000;1,000;0,060;0,045;0,050
SP01744;SP;2443,000;1903,000;540,000;1614,000;3,000;0,186;0,135;0,158
SP01745;SP;3806,000;2617,000;1189,000;2071,000;3,000;0,145;0,135;0,115
SP01747;SP;2073,000;1508,000;565,000;1224,000;1,000;0,082;0,045;0,066
SP01748;SP;3372,000;2550,000;822,000;2096,000;2,000;0,095;0,090;0,078
SP01749;SP;3518,000;2677,000;841,000;2231,000;1,000;0,045;0,045;0,037
SP01750;SP;1938,000;1587,000;351,000;1344,000;2,000;0,149;0,090;0,126
SP01789;SP;5960,000;4385,000;1575,000;3608,000;1,000;0,028;0,045;0,023
SP01854;SP;5482,000;3816,000;1666,000;3154,000;1,000;0,032;0,045;0,026
SP01867;SP;5509,000;4205,000;1304,000;3512,000;1,000;0,028;0,045;0,024
SP01889;SP;7228,000;5214,000;2014,000;4452,000;1,000;0,022;0,045;0,019
SP01900;SP;4988,000;3830,000;1158,000;3267,000;1,000;0,031;0,045;0,026
SP01942;SP;2838,000;1952,000;886,000;1638,000;1,000;0,061;0,045;0,051
SP01956;SP;2217,000;1704,000;513,000;1444,000;1,000;0,069;0,045;0,059
SP01963;SP;6175,000;4386,000;1789,000;3833,000;1,000;0,026;0,045;0,023
SP01964;SP;5289,000;3773,000;1516,000;3360,000;1,000;0,030;0,045;0,027
SP01986;SP;5859,000;4091,000;1768,000;3489,000;1,000;0,029;0,045;0,024
SP01997;SP;6927,000;5249,000;1678,000;4360,000;1,000;0,023;0,045;0,019
SP01998;SP;6178,000;4568,000;1610,000;3831,000;2,000;0,052;0,090;0,044
SP02027;SP;5306,000;3655,000;1651,000;3143,000;2,000;0,064;0,090;0,055
SP02031;SP;5725,000;4113,000;1612,000;3423,000;1,000;0,029;0,045;0,024
SP02032;SP;4842,000;3184,000;1658,000;2718,000;1,000;0,037;0,045;0,031
SP02033;SP;7687,000;5697,000;1990,000;4752,000;1,000;0,021;0,045;0,018
SP02037;SP;3883,000;2872,000;1011,000;2425,000;1,000;0,041;0,045;0,035
SP02038;SP;5939,000;4569,000;1370,000;3984,000;1,000;0,025;0,045;0,022
SP02039;SP;6572,000;4884,000;1688,000;4051,000;1,000;0,025;0,045;0,020
SP02045;SP;2296,000;1796,000;500,000;1511,000;1,000;0,066;0,045;0,056
SP02047;SP;5031,000;3799,000;1232,000;3118,000;2,000;0,064;0,090;0,053
SP02048;SP;2701,000;2131,000;570,000;1742,000;1,000;0,057;0,045;0,047
SP02051;SP;4627,000;3564,000;1063,000;3165,000;1,000;0,032;0,045;0,028
SP02053;SP;3844,000;2932,000;912,000;2581,000;1,000;0,039;0,045;0,034
SP02055;SP;1516,000;1161,000;355,000;979,000;2,000;0,204;0,090;0,172
