CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,096;0,030
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,048;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,048;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,048;0,026
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,048;0,032
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,048;0,031
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,048;0,069
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,048;0,008
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,048;0,039
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,096;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,096;0,037
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,048;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,048;0,025
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,048;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,048;0,019
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,048;0,020
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,048;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,048;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,048;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,048;0,024
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,048;0,018
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,048;0,027
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,048;0,029
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,096;0,054
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,048;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;0,144;0,040
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,048;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,048;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,096;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,096;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,096;0,055
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,048;0,030
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,048;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,048;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,048;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,096;0,031
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,048;0,026
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,048;0,027
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,048;0,057
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,048;0,027
SP00156;SP;7080,000;4869,000;2211,000;4038,000;4,000;0,099;0,192;0,082
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,048;0,017
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,048;0,019
