CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;14,000;0,230;1,401;0,211
SP00002;SP;8476,000;5539,000;2937,000;5059,000;4,000;0,079;0,400;0,072
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,100;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;6,000;0,169;0,601;0,155
SP00010;SP;9269,000;6039,000;3230,000;5553,000;12,000;0,216;1,201;0,199
SP00011;SP;7822,000;5249,000;2573,000;4769,000;4,000;0,084;0,400;0,076
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,100;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,100;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,200;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,100;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,200;0,056
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,100;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,100;0,026
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,100;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;16,000;0,339;1,602;0,309
SP00029;SP;17797,000;12599,000;5198,000;11769,000;40,000;0,340;4,004;0,317
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;0,200;0,104
SP00031;SP;6412,000;4268,000;2144,000;3816,000;4,000;0,105;0,400;0,094
SP00032;SP;11991,000;8507,000;3484,000;8030,000;22,000;0,274;2,202;0,259
SP00033;SP;7735,000;5271,000;2464,000;4792,000;18,000;0,376;1,802;0,341
SP00034;SP;5401,000;3246,000;2155,000;2941,000;5,000;0,170;0,501;0,154
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,300;0,078
SP00036;SP;6716,000;4776,000;1940,000;4457,000;3,000;0,067;0,300;0,063
SP00037;SP;5446,000;3922,000;1524,000;3606,000;11,000;0,305;1,101;0,280
SP00038;SP;8044,000;5650,000;2394,000;5177,000;11,000;0,212;1,101;0,195
SP00039;SP;6391,000;4336,000;2055,000;3981,000;5,000;0,126;0,501;0,115
SP00040;SP;7288,000;5434,000;1854,000;4999,000;4,000;0,080;0,400;0,074
SP00041;SP;4585,000;3191,000;1394,000;2950,000;3,000;0,102;0,300;0,094
SP00042;SP;3797,000;2921,000;876,000;2677,000;8,000;0,299;0,801;0,274
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,200;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;20,000;0,375;2,002;0,348
SP00046;SP;8211,000;6097,000;2114,000;5678,000;38,000;0,669;3,804;0,623
SP00047;SP;4672,000;3348,000;1324,000;3050,000;5,000;0,164;0,501;0,149
SP00048;SP;5609,000;4361,000;1248,000;4021,000;8,000;0,199;0,801;0,183
SP00049;SP;2731,000;2018,000;713,000;1902,000;17,000;0,894;1,702;0,842
SP00050;SP;1956,000;1443,000;513,000;1344,000;5,000;0,372;0,501;0,347
SP00051;SP;9919,000;6324,000;3595,000;5895,000;26,000;0,441;2,603;0,411
SP00053;SP;6007,000;3594,000;2413,000;3140,000;12,000;0,382;1,201;0,334
SP00057;SP;4525,000;2909,000;1616,000;2485,000;5,000;0,201;0,501;0,172
SP00058;SP;5387,000;3548,000;1839,000;3095,000;5,000;0,162;0,501;0,141
SP00064;SP;6208,000;4037,000;2171,000;3511,000;4,000;0,114;0,400;0,099
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,100;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,100;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,100;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;19,000;0,214;1,902;0,194
SP00074;SP;4599,000;3060,000;1539,000;2770,000;4,000;0,144;0,400;0,131
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,200;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,200;0,039
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,100;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,100;0,011
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,100;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,100;0,024
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,100;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,100;0,019
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,100;0,030
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,100;0,035
SP00105;SP;3570,000;2330,000;1240,000;2184,000;4,000;0,183;0,400;0,172
SP00106;SP;4729,000;3001,000;1728,000;2772,000;10,000;0,361;1,001;0,333
SP00107;SP;5091,000;3438,000;1653,000;3201,000;4,000;0,125;0,400;0,116
SP00108;SP;7706,000;4996,000;2710,000;4672,000;11,000;0,235;1,101;0,220
SP00110;SP;4331,000;2860,000;1471,000;2625,000;5,000;0,190;0,501;0,175
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,200;0,056
SP00114;SP;11524,000;7280,000;4244,000;6663,000;4,000;0,060;0,400;0,055
SP00115;SP;6789,000;4670,000;2119,000;4276,000;7,000;0,164;0,701;0,150
SP00116;SP;13458,000;8809,000;4649,000;8195,000;8,000;0,098;0,801;0,091
SP00117;SP;12258,000;8026,000;4232,000;7396,000;5,000;0,068;0,501;0,062
SP00118;SP;11540,000;7496,000;4044,000;6933,000;6,000;0,087;0,601;0,080
SP00119;SP;8699,000;5629,000;3070,000;5241,000;12,000;0,229;1,201;0,213
SP00120;SP;7492,000;5053,000;2439,000;4694,000;5,000;0,107;0,501;0,099
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,100;0,061
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,100;0,057
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,100;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,100;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,200;0,072
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,200;0,039
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,100;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,100;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,200;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,100;0,028
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,100;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,100;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;3,000;0,050;0,300;0,044
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,100;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,200;0,040
SP00140;SP;5793,000;3889,000;1904,000;3467,000;3,000;0,087;0,300;0,077
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,100;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,100;0,018
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,100;0,025
SP00148;SP;4985,000;3706,000;1279,000;3293,000;5,000;0,152;0,501;0,135
SP00191;SP;4893,000;3386,000;1507,000;3120,000;3,000;0,096;0,300;0,089
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,100;0,044
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,200;0,032
SP00201;SP;9459,000;6572,000;2887,000;5989,000;3,000;0,050;0,300;0,046
SP00202;SP;7973,000;5469,000;2504,000;5015,000;3,000;0,060;0,300;0,055
SP00205;SP;3126,000;2267,000;859,000;2107,000;2,000;0,095;0,200;0,088
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,100;0,028
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,100;0,034
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,100;0,025
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,100;0,030
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,100;0,021
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,100;0,037
