CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,118;0,026
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,118;0,023
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,118;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,118;0,026
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,118;0,046
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,118;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,118;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,118;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,118;0,028
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,118;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,118;0,010
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,118;0,074
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,118;0,036
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,118;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,118;0,018
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,118;0,016
SP00293;SP;2607,000;1718,000;889,000;1522,000;2,000;0,131;0,237;0,116
SP00295;SP;4636,000;3029,000;1607,000;2673,000;2,000;0,075;0,237;0,066
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,118;0,064
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,118;0,024
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,118;0,040
SP00309;SP;3845,000;2727,000;1118,000;2377,000;3,000;0,126;0,355;0,110
SP00310;SP;5928,000;4260,000;1668,000;3647,000;5,000;0,137;0,592;0,117
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,118;0,054
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,118;0,067
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,118;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,118;0,037
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,237;0,065
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,118;0,073
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,118;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,118;0,027
