CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;5,000;0,026
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;5,000;0,023
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;5,000;0,020
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;5,000;0,033
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;5,000;0,023
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;5,000;0,020
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;5,000;0,038
SP00827;SP;7530,000;5704,000;1826,000;4991,000;1,000;0,020;5,000;0,018
SP00963;SP;706,000;535,000;171,000;445,000;1,000;0,225;5,000;0,187
SP00985;SP;3154,000;2348,000;806,000;2069,000;1,000;0,048;5,000;0,043
SP01002;SP;3956,000;2855,000;1101,000;2507,000;1,000;0,040;5,000;0,035
SP01189;SP;5883,000;4012,000;1871,000;3366,000;1,000;0,030;5,000;0,025
SP01199;SP;4561,000;3429,000;1132,000;2819,000;1,000;0,035;5,000;0,029
SP01207;SP;4349,000;3294,000;1055,000;2669,000;1,000;0,037;5,000;0,030
SP01216;SP;4894,000;3798,000;1096,000;2945,000;1,000;0,034;5,000;0,026
SP01468;SP;3098,000;2339,000;759,000;1922,000;2,000;0,104;10,000;0,086
SP01491;SP;4927,000;3538,000;1389,000;2917,000;1,000;0,034;5,000;0,028
SP01744;SP;2443,000;1903,000;540,000;1614,000;1,000;0,062;5,000;0,053
SP02014;SP;3660,000;2664,000;996,000;2271,000;1,000;0,044;5,000;0,038
