CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,107;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,107;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,214;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,107;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;10,000;0,233;1,070;0,206
SP00006;SP;6187,000;4196,000;1991,000;3800,000;4,000;0,105;0,428;0,095
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,321;0,052
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,107;0,037
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,214;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,321;0,050
SP00011;SP;7822,000;5249,000;2573,000;4769,000;34,000;0,713;3,636;0,648
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,214;0,033
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,107;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;5,000;0,127;0,535;0,113
SP00015;SP;4890,000;3200,000;1690,000;2777,000;4,000;0,144;0,428;0,125
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,214;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,107;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,107;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,107;0,028
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,107;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;3,000;0,126;0,321;0,109
SP00022;SP;5474,000;3858,000;1616,000;3218,000;4,000;0,124;0,428;0,104
SP00023;SP;2029,000;1448,000;581,000;1264,000;4,000;0,316;0,428;0,276
SP00025;SP;3193,000;2227,000;966,000;2052,000;3,000;0,146;0,321;0,135
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,214;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,107;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,214;0,016
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,214;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;3,000;0,063;0,321;0,057
SP00034;SP;5401,000;3246,000;2155,000;2941,000;2,000;0,068;0,214;0,062
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,107;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,107;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,214;0,035
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,107;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,107;0,034
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,214;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,107;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,107;0,016
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,214;0,056
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,107;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,107;0,027
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,214;0,067
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,107;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,107;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,214;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,214;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,214;0,039
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,107;0,027
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,107;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,107;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,107;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,107;0,024
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,214;0,047
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,107;0,023
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,107;0,018
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,107;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,107;0,015
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,107;0,058
SP00107;SP;5091,000;3438,000;1653,000;3201,000;2,000;0,062;0,214;0,058
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,107;0,028
SP00114;SP;11524,000;7280,000;4244,000;6663,000;3,000;0,045;0,321;0,041
SP00117;SP;12258,000;8026,000;4232,000;7396,000;5,000;0,068;0,535;0,062
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,214;0,027
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,107;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,214;0,075
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,214;0,072
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,107;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;5,000;0,085;0,535;0,076
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,214;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,107;0,019
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,107;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,107;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;11,000;0,184;1,176;0,161
SP00136;SP;9241,000;6497,000;2744,000;5815,000;3,000;0,052;0,321;0,046
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,107;0,020
SP00138;SP;3114,000;2129,000;985,000;1891,000;2,000;0,106;0,214;0,094
SP00139;SP;7945,000;5514,000;2431,000;4905,000;9,000;0,183;0,963;0,163
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,107;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,107;0,031
SP00142;SP;4541,000;2990,000;1551,000;2638,000;5,000;0,190;0,535;0,167
SP00143;SP;8101,000;5686,000;2415,000;5122,000;5,000;0,098;0,535;0,088
SP00146;SP;7336,000;5404,000;1932,000;4752,000;3,000;0,063;0,321;0,056
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,107;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;5,000;0,152;0,535;0,135
SP00149;SP;3452,000;2590,000;862,000;2234,000;6,000;0,269;0,642;0,232
SP00153;SP;6503,000;4705,000;1798,000;3830,000;2,000;0,052;0,214;0,043
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,107;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,107;0,021
SP00167;SP;6528,000;4883,000;1645,000;3930,000;5,000;0,127;0,535;0,102
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,107;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,107;0,021
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,214;0,057
SP00177;SP;6291,000;4620,000;1671,000;3718,000;2,000;0,054;0,214;0,043
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,107;0,046
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,107;0,050
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,107;0,043
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,107;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;2,000;0,046;0,214;0,041
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,107;0,044
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,107;0,025
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,107;0,052
