CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,212;0,030
SP00004;SP;6071,000;4117,000;1954,000;3653,000;3,000;0,082;0,318;0,073
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,212;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,212;0,048
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,212;0,074
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,212;0,033
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,106;0,019
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,106;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,106;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,106;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,106;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,212;0,064
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,212;0,073
SP00025;SP;3193,000;2227,000;966,000;2052,000;3,000;0,146;0,318;0,135
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,106;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,212;0,039
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,212;0,038
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,106;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,106;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,106;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,106;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,106;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,106;0,031
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,212;0,035
